Country,EU,CountryEurostats,CountryFlourish,region,Image URL
,,,Albania,Europe,https://www.countryflags.io/al/flat/64.png
,,,Andorra,Europe,https://www.countryflags.io/ad/flat/64.png
AT,EU,Austria,Austria,Europe,https://www.countryflags.io/at/flat/64.png
BE,EU,Belgium,Belgium,Europe,https://www.countryflags.io/be/flat/64.png
BG,EU,Bulgaria,Bulgaria,Europe,https://www.countryflags.io/bg/flat/64.png
,,,Bosnia and Herzegovina,Europe,https://www.countryflags.io/ba/flat/64.png
,,,Belarus,Europe,https://www.countryflags.io/by/flat/64.png
CH,Non EU,Switzerland,Switzerland,Europe,https://www.countryflags.io/ch/flat/64.png
CZ,EU,Czechia,Czech Republic,Europe,https://www.countryflags.io/cz/flat/64.png
DE,EU,Germany,Germany,Europe,https://www.countryflags.io/de/flat/64.png
DK,EU,Denmark,Denmark,Europe,https://www.countryflags.io/dk/flat/64.png
ES,EU,Spain,Spain,Europe,https://www.countryflags.io/es/flat/64.png
EE,EU,Estonia,Estonia,Europe,https://www.countryflags.io/ee/flat/64.png
FI,EU,Finland,Finland,Europe,https://www.countryflags.io/fi/flat/64.png
FR,EU,France,France,Europe,https://www.countryflags.io/fr/flat/64.png
,,,Faroe Islands,Europe,https://www.countryflags.io/fo/flat/64.png
UK,EU,United Kingdom,UK,Europe,https://www.countryflags.io/gb/flat/64.png
,,,Gibraltar,Europe,https://www.countryflags.io/gi/flat/64.png
EL,EU,Greece,Greece,Europe,https://www.countryflags.io/gr/flat/64.png
HR,EU,Croatia,Croatia,Europe,https://www.countryflags.io/hr/flat/64.png
HU,EU,Hungary,Hungary,Europe,https://www.countryflags.io/hu/flat/64.png
,,,Isle of Man,Europe,https://www.countryflags.io/im/flat/64.png
IE,EU,Ireland,Ireland,Europe,https://www.countryflags.io/ie/flat/64.png
IS,Non EU,Iceland,Iceland,Europe,https://www.countryflags.io/is/flat/64.png
IT,EU,Italy,Italy,Europe,https://www.countryflags.io/it/flat/64.png
LI,Non EU,Liechtenstein,Liechtenstein,Europe,https://www.countryflags.io/li/flat/64.png
LT,EU,Lithuania,Lithuania,Europe,https://www.countryflags.io/lt/flat/64.png
LU,EU,Luxembourg,Luxembourg,Europe,https://www.countryflags.io/lu/flat/64.png
LV,EU,Latvia,Latvia,Europe,https://www.countryflags.io/lv/flat/64.png
,,,Monaco,Europe,https://www.countryflags.io/mc/flat/64.png
,,,Moldova,Europe,https://www.countryflags.io/md/flat/64.png
,,,"Macedonia, FYR",Europe,https://www.countryflags.io/mk/flat/64.png
MT,EU,Malta,Malta,Europe,https://www.countryflags.io/mt/flat/64.png
,,,Montenegro,Europe,https://www.countryflags.io/me/flat/64.png
NL,EU,Netherlands,Netherlands,Europe,https://www.countryflags.io/nl/flat/64.png
NO,Non EU,Norway,Norway,Europe,https://www.countryflags.io/no/flat/64.png
PL,EU,Poland,Poland,Europe,https://www.countryflags.io/pl/flat/64.png
PT,EU,Portugal,Portugal,Europe,https://www.countryflags.io/pt/flat/64.png
RO,EU,Romania,Romania,Europe,https://www.countryflags.io/ro/flat/64.png
,,,Russia,Europe,https://www.countryflags.io/ru/flat/64.png
,,,San Marino,Europe,https://www.countryflags.io/sm/flat/64.png
RS,Non EU,Serbia,Serbia,Europe,https://www.countryflags.io/rs/flat/64.png
SK,EU,Slovakia,Slovak Republic,Europe,https://www.countryflags.io/sk/flat/64.png
SI,EU,Slovenia,Slovenia,Europe,https://www.countryflags.io/si/flat/64.png
SE,EU,Sweden,Sweden,Europe,https://www.countryflags.io/se/flat/64.png
UA,Non EU,Ukraine,Ukraine,Europe,https://www.countryflags.io/ua/flat/64.png
CY,EU,Cyprus,Cyprus,Asia,https://www.countryflags.io/cy/flat/64.png
IL,Non EU,Israel,Israel,Asia,https://www.countryflags.io/il/flat/64.png
TR,Non EU,Turkey,Turkey,Asia,https://www.countryflags.io/tr/flat/64.png